t,status,d1,d2,src
30059.8816,237,20,68,1
30059.8983,237,36,68,1
30059.9149,237,49,68,1
30059.9317,237,62,68,1
30059.9483,237,76,68,1
30059.9650,237,90,68,1
30059.9816,237,106,68,1
30059.9983,237,120,68,1
30060.0150,237,9,69,1
30060.0316,237,24,69,1
30060.0483,237,39,69,1
30060.0650,237,51,69,1
30060.0816,237,60,69,1
30060.0983,237,69,69,1
30060.1150,237,73,69,1
30060.1316,237,75,69,1
30060.1483,237,77,69,1
30060.3316,237,76,69,1
30060.3482,237,75,69,1
30060.3816,237,73,69,1
30060.3982,237,71,69,1
30060.4148,237,69,69,1
30060.4315,237,64,69,1
30060.4483,237,55,69,1
30060.4649,237,43,69,1
30060.4816,237,24,69,1
30060.4983,237,127,68,1
30060.5150,237,102,68,1
30060.5316,237,76,68,1
30060.5483,237,50,68,1
30060.5650,237,23,68,1
30060.5816,237,126,67,1
30060.5983,237,102,67,1
30060.6150,237,80,67,1
30060.6316,237,63,67,1
30060.6483,237,51,67,1
30060.6650,237,41,67,1
30060.6816,237,31,67,1
30060.6983,237,24,67,1
30060.7149,237,19,67,1
30060.7316,237,16,67,1
30060.7483,237,13,67,1
30060.7650,237,11,67,1
30060.7816,237,10,67,1
30060.7983,237,8,67,1
30060.8149,237,4,67,1
30060.8316,237,0,67,1
30060.8483,237,123,66,1
30060.8649,237,118,66,1
30060.8816,237,114,66,1
30060.8983,237,111,66,1
30060.9149,237,109,66,1
30060.9316,237,107,66,1
30060.9483,237,106,66,1
30060.9649,237,105,66,1
30061.0150,237,104,66,1
30061.0982,237,102,66,1
30061.1815,221,0,0,1
30061.1815,141,48,64,1
30062.1492,238,0,64,1
30062.1492,158,73,120,1
30062.4650,222,0,0,1
30062.4650,142,73,64,1
30063.0162,239,0,64,1
30063.0162,159,74,120,1
30063.2482,239,2,64,1
30063.2482,223,2,0,1
30063.2648,239,3,64,1
30063.2816,239,6,64,1
30063.2816,223,3,0,1
30063.2982,239,8,64,1
30063.2982,223,4,0,1
30063.3150,223,0,0,1
30063.3150,143,74,64,1
30063.6827,225,0,64,1
30063.6827,145,74,120,1
30063.7648,209,0,0,1
30063.7648,129,74,64,1
30064.0495,226,0,64,1
30064.0495,146,74,120,1
30064.1482,210,0,0,1
30064.1482,130,74,64,1
30064.3495,227,0,64,1
30064.3495,147,74,120,1
30064.4316,211,0,0,1
30064.4316,131,74,64,1
30064.7163,228,0,64,1
30064.7163,148,74,120,1
30064.7814,212,0,0,1
30064.7814,132,74,64,1
30064.9993,229,0,64,1
30064.9993,149,74,120,1
30065.0816,213,0,0,1
30065.0816,133,74,64,1
30065.7494,230,0,64,1
30065.7494,150,72,120,1
30065.7981,230,1,64,1
30065.7981,214,9,0,1
30065.8147,230,15,64,1
30065.8147,214,16,0,1
30065.8316,230,46,64,1
30065.8316,214,21,0,1
30065.8481,230,81,64,1
30065.8481,214,23,0,1
30065.8648,230,113,64,1
30065.8648,214,17,0,1
30065.8815,230,18,65,1
30065.8815,214,15,0,1
30065.8981,230,54,65,1
30065.8981,214,12,0,1
30065.9147,230,92,65,1
30065.9147,214,10,0,1
30065.9314,230,4,66,1
30065.9314,214,9,0,1
30065.9481,230,46,66,1
30065.9481,214,8,0,1
30065.9648,230,87,66,1
30065.9648,214,7,0,1
